Status,Security,Name,IP Address,Vendor,Type,Open Ports,Stability,Availability %,Hostname,Model,Location,Managed By,Last Seen,MAC Address
"online","","192.168.1.45","192.168.1.45","Unknown Vendor","Unknown","21, 22, 23, 80, 443, 41795","100","100","","Unknown Device","","","2026-04-25T09:50:25.116-04:00","00107FDCD34F"
"online","","192.168.1.236","192.168.1.236","Synology","Storage_NAS","22, 80, 111, 443, 445, 5000, 5001","100","100","","Unknown Model","","","2026-04-25T09:50:25.116-04:00","9009D003E133"
"online","","192.168.1.65","192.168.1.65","Crestron","Control_Processor","21, 22, 80, 443, 41794","100","100","","Unknown Model","","","2026-04-25T09:50:25.116-04:00","00107FF05EF7"
"online","","192.168.1.100","192.168.1.100","Unknown Vendor","Unknown","","100","100","","Unknown Device","","","2026-04-25T09:50:25.116-04:00","2816A8E34C96"
"online","","192.168.1.239","192.168.1.239","Unknown Vendor","Unknown","22, 111, 8080, 32400","100","100","","Unknown Device","","","2026-04-25T09:50:25.116-04:00","C45AB1E36A6D"
"online","","STACKS AV","192.168.1.138","Synology","Storage_NAS","80, 5000, 8008, 8009, 8080, 10001","100","100","STACKS AV","Unknown Model","","","2026-04-25T09:50:25.116-04:00","0009B0DE3D96"
"online","","192.168.1.219","192.168.1.219","Unknown Vendor","Unknown","22","100","100","","Unknown Device","","","2026-04-25T09:50:25.116-04:00","A89C6C180AB3"
"online","","192.168.1.5","192.168.1.5","Unknown Vendor","Unknown","80, 443, 8080, 8443","100","100","","Unknown Device","","","2026-04-25T09:50:25.116-04:00","1C0B8BE48D74"
"online","","KSTACKS-DESKTOP","169.254.83.107","StacksAtlas","Network_Infrastructure","","100","100","KSTACKS-DESKTOP","StacksAtlas Host Node","","","2026-04-25T09:50:25.116-04:00","345A60DF9780"
"online","","192.168.1.10","192.168.1.10","Unknown Vendor","Unknown","22","100","100","","Unknown Device","","","2026-04-25T09:50:25.116-04:00","B8D4E7134340"
"online","","192.168.1.107","192.168.1.107","Unknown Vendor","Unknown","","71","80","","Unknown Device","","","2026-04-25T09:50:25.116-04:00","8C7AAAF1570A"
